battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
0.7381429525718103,0.0,0.36,0.0,0.15789473684210525,0.0,0.8870967741935484,0.0,0.6166666666666667,0.42857142857142855,0.2,0.575,0.9506008010680908,0.8546231961517905,0.5714285714285714,0.4444444444444444,1.0,0.0,0.0,1.0,1
0.2892451569806279,0.0,0.24000000000000005,0.0,0.3684210526315789,0.0,0.3548387096774194,0.7777777777777778,0.26666666666666666,0.5714285714285714,0.6,0.5668367346938775,0.6428571428571429,0.20336718332442544,0.5,0.3888888888888889,0.3888888888888889,0.0,0.0,1.0,0
0.4909819639278557,0.0,0.16,1.0,0.10526315789473684,1.0,0.8870967741935484,0.0,0.9,0.0,0.7,0.26377551020408163,0.20627503337783712,0.30732228754676644,0.6428571428571429,0.6666666666666666,1.0,1.0,0.0,1.0,0
0.28390113560454244,1.0,0.12000000000000002,0.0,0.3157894736842105,1.0,0.9193548387096774,0.7777777777777778,0.675,0.8571428571428571,0.7,0.04285714285714286,0.19559412550066757,0.0,0.9285714285714286,0.3888888888888889,0.0,1.0,0.0,1.0,0
0.8857715430861723,0.0,0.48,0.0,0.21052631578947367,1.0,0.5967741935483871,0.4444444444444445,0.4,0.5714285714285714,0.8,0.02806122448979592,0.3471295060080107,0.6916087653661144,0.6428571428571429,0.5,0.4444444444444444,1.0,1.0,0.0,1
0.7227788911155645,0.0,0.27999999999999997,1.0,0.0,0.0,0.1935483870967742,0.11111111111111112,0.5666666666666667,0.14285714285714285,0.2,0.5974489795918367,0.7830440587449933,0.5991448423303046,0.5714285714285714,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,1
0.17568470273881096,0.0,0.2,1.0,0.47368421052631576,1.0,0.6935483870967742,0.4444444444444445,0.36666666666666664,1.0,0.55,0.026530612244897958,0.0260347129506008,0.2899518973810796,1.0,0.05555555555555555,0.5555555555555556,1.0,0.0,0.0,0
0.9672678690714763,1.0,0.36,0.0,0.3684210526315789,0.0,0.8870967741935484,0.2222222222222222,0.5416666666666666,0.8571428571428571,0.55,0.48520408163265305,0.45260347129506007,0.02672367717797969,0.0,0.16666666666666666,0.9444444444444444,0.0,0.0,0.0,0
0.9472277889111557,0.0,0.4,0.0,0.2631578947368421,1.0,0.7419354838709677,0.7777777777777778,0.5833333333333334,0.42857142857142855,0.3,0.15510204081632653,0.4612817089452603,0.3033137359700695,1.0,0.7222222222222222,0.5555555555555556,1.0,0.0,1.0,0
0.45424181696726784,0.0,0.72,0.0,0.631578947368421,1.0,0.9516129032258065,0.5555555555555556,0.3,0.14285714285714285,0.8,0.19642857142857142,0.22096128170894527,0.47140566541956175,0.07142857142857142,0.0,0.8888888888888888,1.0,1.0,0.0,0
0.8363393453573814,0.0,0.07999999999999999,0.0,0.21052631578947367,0.0,0.6129032258064516,0.5555555555555556,0.925,0.42857142857142855,0.55,0.8428571428571429,0.9899866488651535,0.22875467664350616,0.21428571428571427,0.1111111111111111,0.7222222222222222,1.0,1.0,1.0,0
0.6973947895791583,0.0,0.32,1.0,0.7894736842105263,1.0,0.532258064516129,0.0,0.775,0.5714285714285714,1.0,0.058673469387755105,0.5687583444592791,0.7859433458043826,0.6428571428571429,0.5,0.2222222222222222,1.0,0.0,1.0,1
0.9973279893119572,1.0,0.07999999999999999,0.0,0.2631578947368421,0.0,0.04838709677419355,0.33333333333333337,0.9083333333333333,0.14285714285714285,0.35,0.04387755102040816,0.69826435246996,0.4222340994120791,0.5,0.6111111111111112,0.8888888888888888,1.0,0.0,0.0,1
0.31462925851703405,1.0,0.8800000000000001,1.0,0.05263157894736842,0.0,0.04838709677419355,1.0,0.38333333333333336,0.42857142857142855,0.1,0.35051020408163264,0.2109479305740988,0.7426509887760556,0.5,0.3888888888888889,0.9444444444444444,1.0,0.0,1.0,1
0.5918503674014696,0.0,0.0,0.0,0.0,1.0,0.9516129032258065,0.4444444444444445,0.15,0.2857142857142857,0.0,0.4005102040816326,0.43457943925233644,0.09967931587386425,0.0,0.16666666666666666,0.5,1.0,1.0,0.0,0
0.6098864395457582,0.0,0.8400000000000001,0.0,0.05263157894736842,0.0,0.4032258064516129,0.5555555555555556,0.475,0.42857142857142855,1.0,0.41020408163265304,0.7102803738317757,0.014965259219668627,0.0,0.1111111111111111,0.3333333333333333,0.0,0.0,1.0,0
0.07414829659318638,1.0,0.0,1.0,0.05263157894736842,1.0,0.2903225806451613,0.7777777777777778,0.825,1.0,0.3,0.5841836734693877,0.6588785046728972,0.8086584714056654,0.7857142857142857,0.1111111111111111,0.8888888888888888,1.0,1.0,1.0,1
0.8871075484301937,0.0,0.48,0.0,0.0,0.0,0.5483870967741935,0.7777777777777778,0.26666666666666666,0.5714285714285714,0.05,0.14846938775510204,0.04205607476635514,0.32576162479957244,0.42857142857142855,0.2222222222222222,0.2777777777777778,0.0,0.0,0.0,0
